gfx,cu_num,token,model_dim,inter_dim,expert,topk,act_type,dtype,q_dtype_a,q_dtype_w,q_type,use_g1u1,doweight_stage1,block_m,ksplit,us1,kernelName1,err1,us2,kernelName2,err2,us,run_1stage,xbf16,flat,tflops,bw,_tag
gfx950,256,512,4096,1536,128,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,183.3387,flydsl_moe1_afp4_wfp4_bf16_t64x128x256_w4_fp4,0.1%,112.3012,flydsl_moe2_afp4_wfp4_bf16_t64x256x256_atomic_bnt2_persist,2.5%,295.6399,0,0,0,523.0,8193.11,
gfx950,256,8192,4096,1536,128,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,608.0773,flydsl_moe1_afp4_wfp4_bf16_t64x128x256_w3_bnt0_fp4,0.1%,897.8368,flydsl_moe2_afp4_wfp4_bf16_t64x128x256_atomic_persist_async_w4_cumul3,2.5%,1505.9141,0,0,0,1642.79,1671.13,
gfx950,256,16384,4096,1536,128,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,1054.2367,flydsl_moe1_afp4_wfp4_bf16_t64x128x256_w4_bnt0_fp4,0.1%,1058.0055,flydsl_moe2_afp4_wfp4_bf16_t64x128x256_atomic_persist_async_w4_cumul3,2.5%,2112.2422,0,0,0,2342.44,1239.08,
gfx950,256,32768,4096,1536,128,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,1956.0807,flydsl_moe1_afp4_wfp4_bf16_t64x128x256_w4_bnt0_fp4,0.1%,2109.675,flydsl_moe2_afp4_wfp4_bf16_t64x128x256_atomic_persist_async_w4_cumul3,2.5%,4065.7557,0,0,0,2433.89,693.25,
